Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C101,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22.022,-70.272,270,top
C101,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,35.022,-34.272,270,top
C102,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.626,-71.542,90,top
C102,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.626,-35.542,90,top
C103,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.056,-35.542,90,top
C103,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.056,-71.542,90,top
C104,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.216,-35.542,90,top
C104,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,50.216,-71.542,90,top
C105,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,42.261,-32.494,0,top
C105,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,29.261,-68.494,0,top
C106,18pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.61,-29.065,180,top
C106,18pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,27.61,-65.065,180,top
C107,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.249,-35.542,90,top
C107,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.249,-71.542,90,top
C108,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,25.37,-26.906,0,top
C108,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,12.37,-62.906,0,top
L101,1uH,L_Coilcraft_XxL4020,35.911,-38.59,0,top
L101,1uH,L_Coilcraft_XxL4020,22.911,-74.59,0,top
R101,402k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,40.61,-30.716,180,top
R101,402k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,27.61,-66.716,180,top
R102,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,37.054,-30.716,180,top
R102,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.054,-66.716,180,top
R103,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,28.372,-74.336,180,top
R103,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,41.372,-38.336,180,top
R104,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.37,-64.43,180,top
R104,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,25.37,-28.43,180,top
R105,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,39.8,-67.8,90,top
R105,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,52.8,-31.8,90,top
R106,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,49.962,-67.859,90,top
R106,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,62.962,-31.859,90,top
R107,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.995,-31.859,90,top
R107,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.995,-67.859,90,top
R108,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.901,-70.145,90,top
R108,0R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,82.901,-34.145,90,top
U101,TPS61230DRC,Texas_S-PVSON-N10_ThermalVias,25.34,-70.067,90,top
U101,TPS61230DRC,Texas_S-PVSON-N10_ThermalVias,38.34,-34.067,90,top
U102,XB8089D,SOP-8_3.9x4.9mm_P1.27mm_EP3.5x2.6mm,18.212,-65.1285,90,top
U102,XB8089D,SOP-8_3.9x4.9mm_P1.27mm_EP3.5x2.6mm,31.212,-29.1285,90,top
